net,length_um
clknet_0_clk,324.78
_0210_,295.43
_0342_,274.36
_0189_,264.07
_0207_,255.32
_0503_,242.72
_0422_,221.75
_0194_,220.545
_0399_,219.85
_0391_,213.53
_0203_,213.37
_0179_,211.18
_0337_,193.7
_0353_,192.98
_0350_,192.95
_0366_,190.14
_0313_,188.1
_0424_,185.84
_0434_,185.02
_0437_,184.64
_0200_,184.235
_0411_,182.88
_0361_,174.37
_0320_,173.18
_0308_,167.98
_0492_,165.7
_0363_,164.25
_0173_,163.35
_0343_,158.78
_0351_,158.52
_0357_,157.66
_0387_,154.28
_0175_,150.48
_0395_,149.24
_0204_,142.38
_0520_,138.54
net3,137.8
_0185_,134.995
net7,131.05
_0199_,129.345
_0166_,128.505
_0383_,128.27
_0223_,127.965
_0168_,126.66
_0468_,125.74
clk,121.23
clknet_4_10_0_clk,118.38
net8,116.15
net10,115.29
clknet_4_0_0_clk,113.18
net1,112.7
_0466_,111.29
_0413_,110.92
_0362_,110.74
_0403_,110.71
_0519_,109.78
net6,108.6
_0314_,108.48
_0174_,107.8
_0169_,107.08
_0368_,104.26
clknet_4_6_0_clk,104.24
_0407_,103.62
clknet_4_11_0_clk,103.42
clknet_4_9_0_clk,102.91
_0184_,100.26
net9,99.225
net5,97.18
clknet_4_7_0_clk,93.89
clknet_4_13_0_clk,93.01
net11,92.65
_0315_,91.88
net13,90.56
clknet_4_4_0_clk,87.08
u_addr_gen.addr\[4\],86.935
clknet_4_2_0_clk,86.14
clknet_4_8_0_clk,85.81
_0214_,85.24
_0317_,82
clknet_4_12_0_clk,81.5
clknet_4_1_0_clk,81.14
_0372_,80.11
_0524_,79.88
_0376_,78.27
u_addr_gen.addr\[5\],76.56
clknet_4_5_0_clk,73.36
_0347_,71.3
_0309_,71.07
_0277_,70.34
_0003_,69.715
clknet_4_3_0_clk,68.88
net14,68.02
_0283_,67.18
_0227_,66.16
_0332_,65.06
clknet_4_15_0_clk,65.02
_0164_,64.36
_0171_,61.38
u_sram.addr_r\[2\],59.84
_0291_,59.76
u_addr_gen.addr\[3\],58.36
net2,58.26
u_addr_gen.addr\[2\],57.42
u_sram.mem\[4\]\[1\],56.88
_0310_,55.9
_0151_,55.7
clknet_4_14_0_clk,55.32
u_sram.addr_r\[1\],55.02
_0250_,52.59
_0328_,52.4
_0311_,52.3
_0163_,52.08
_0182_,51.2
_0377_,49.54
_0155_,47.72
u_sram.addr_r\[0\],47.66
_0172_,47.64
net162,46.55
_0344_,45.76
u_pattern_gen.state_r\[0\],45.16
_0232_,44.48
_0304_,44.18
_0348_,42.92
net15,42.32
u_fsm.state\[1\],41.56
_0322_,41.54
net163,40.86
_0170_,40.26
_0183_,39.18
_0326_,39.115
u_fsm.state\[2\],38.22
u_sram.addr_r\[3\],38.16
_0212_,37.96
_0177_,37.28
net17,35.68
_0213_,35.2
_0475_,34.98
u_sram.mem\[62\]\[1\],34.3
_0002_,33.16
u_fsm.fail_latch,32.7
_0530_,32.36
u_sram.mem\[3\]\[0\],32.34
_0178_,32.26
u_sram.mem\[14\]\[0\],32.08
u_sram.mem\[46\]\[0\],32
_0527_,31.34
u_addr_gen.addr_valid,31.02
_0224_,30.84
u_sram.mem\[51\]\[1\],30.58
net4,30.04
_0274_,29.98
u_sram.mem\[47\]\[1\],29.78
_0193_,29.58
_0258_,29.4
u_sram.mem\[6\]\[0\],28.94
_0364_,28.82
_0302_,28.32
u_sram.mem\[14\]\[1\],28.245
u_fsm.rvalid,28
u_sram.mem\[25\]\[0\],28
_0004_,27.94
u_sram.mem\[32\]\[1\],27.44
_0237_,27.02
_0149_,27
_0388_,26.68
_0533_,26.6
u_addr_gen.state\[1\],26.515
_0539_,26.4
_0150_,26.32
_0154_,26.32
u_addr_gen.addr\[0\],25.86
u_sram.mem\[44\]\[0\],25.74
u_sram.mem\[21\]\[1\],25.7
u_sram.mem\[41\]\[0\],25.6
_0198_,25.56
_0249_,25.46
u_sram.mem\[47\]\[0\],25.1
net12,25.07
_0181_,24.92
_0481_,24.74
_0148_,24.705
_0408_,24.42
u_sram.mem\[10\]\[1\],24.34
net23,24.24
u_sram.mem\[30\]\[1\],24.08
net31,23.92
u_fsm.state\[0\],23.6
_0358_,23.48
u_sram.mem\[11\]\[0\],23.34
u_sram.mem\[27\]\[0\],23.12
u_sram.mem\[18\]\[0\],22.92
u_sram.mem\[46\]\[1\],22.595
_0469_,22.5
_0400_,22.34
u_addr_gen.state\[0\],22.1
_0259_,22.06
_0330_,22.06
_0331_,21.94
u_sram.mem\[20\]\[0\],21.5
u_sram.mem\[13\]\[1\],21.46
_0000_,21.04
_0312_,21
_0257_,20.96
_0448_,20.715
u_sram.mem\[51\]\[0\],20.62
u_sram.mem\[37\]\[1\],20.54
u_sram.mem\[32\]\[0\],20.38
u_sram.mem\[60\]\[1\],20.32
u_sram.mem\[42\]\[1\],20.08
u_sram.mem\[59\]\[0\],20.04
_0246_,20
_0297_,19.74
net28,19.7
u_sram.mem\[13\]\[0\],19.5
u_sram.mem\[50\]\[1\],19.16
_0156_,19
_0454_,18.9
u_sram.mem\[52\]\[1\],18.86
u_addr_gen.addr\[1\],18.84
u_sram.mem\[1\]\[1\],18.82
_0396_,18.74
_0329_,18.57
_0009_,18.52
u_sram.mem\[49\]\[0\],18.5
u_sram.mem\[50\]\[0\],18.425
_0414_,18.38
_0251_,18.34
u_sram.mem\[40\]\[1\],18.2
_0551_,18.06
u_sram.mem\[10\]\[0\],18.02
u_sram.mem\[49\]\[1\],18.02
_0201_,17.94
_0553_,17.86
u_sram.mem\[18\]\[1\],17.86
u_sram.mem\[19\]\[1\],17.82
_0165_,17.66
u_sram.mem\[57\]\[1\],17.65
u_sram.mem\[35\]\[1\],17.48
net25,17.34
u_sram.mem\[56\]\[0\],17.28
u_sram.mem\[12\]\[0\],17.18
_0280_,17.17
_0560_,17.15
_0242_,17
u_comparator.pass_fail,16.83
_0167_,16.74
_0033_,16.645
u_sram.mem\[20\]\[1\],16.64
net20,16.64
u_sram.mem\[6\]\[1\],16.6
_0211_,16.54
u_sram.mem\[9\]\[1\],16.4
_0431_,16.32
u_sram.mem\[9\]\[0\],16.3
_0219_,16.2
u_sram.mem\[34\]\[1\],16.065
u_sram.mem\[39\]\[0\],16.06
u_sram.mem\[7\]\[1\],16.06
_0420_,15.94
_0307_,15.9
_0235_,15.86
u_sram.mem\[41\]\[1\],15.74
u_pattern_gen.state_r\[1\],15.72
u_sram.mem\[27\]\[1\],15.6
u_sram.mem\[21\]\[0\],15.52
u_sram.mem\[31\]\[0\],15.52
u_sram.mem\[29\]\[0\],15.48
_0563_,15.44
_0428_,15.3
_0425_,15.24
_0478_,15.22
_0521_,15.22
_0305_,15.07
u_sram.mem\[34\]\[0\],15.04
u_sram.mem\[44\]\[1\],15.02
u_sram.mem\[5\]\[0\],15.02
_0103_,14.965
_0300_,14.96
u_sram.mem\[8\]\[0\],14.94
u_sram.mem\[55\]\[1\],14.88
u_sram.mem\[63\]\[1\],14.88
u_sram.mem\[11\]\[1\],14.86
done,14.82
u_sram.mem\[53\]\[1\],14.82
u_sram.mem\[56\]\[1\],14.8
_0158_,14.76
_0273_,14.64
u_sram.mem\[33\]\[0\],14.56
_0380_,14.46
_0457_,14.46
net19,14.38
u_sram.mem\[40\]\[0\],14.34
u_sram.mem\[2\]\[0\],14.32
_0482_,14.28
_0379_,14.22
_0545_,14.22
u_sram.mem\[29\]\[1\],14.14
_0510_,14.1
_0289_,14.08
u_sram.mem\[31\]\[1\],14.08
_0548_,14.02
u_sram.mem\[26\]\[0\],14.02
_0287_,13.98
_0451_,13.96
_0241_,13.94
_0255_,13.94
u_sram.mem\[59\]\[1\],13.8
_0445_,13.76
_0261_,13.74
u_comparator.enable,13.68
_0208_,13.62
u_sram.mem\[38\]\[1\],13.62
u_sram.mem\[0\]\[0\],13.6
u_sram.mem\[22\]\[0\],13.52
_0507_,13.46
u_sram.mem\[30\]\[0\],13.46
u_sram.mem\[33\]\[1\],13.42
u_sram.mem\[48\]\[0\],13.36
_0375_,13.32
_0497_,13.26
u_sram.mem\[54\]\[1\],13.26
u_sram.mem\[23\]\[1\],13.22
net76,13.22
_0442_,13.18
_0267_,13.12
_0439_,13.12
u_sram.mem\[45\]\[1\],13.08
u_sram.mem\[19\]\[0\],13.06
u_sram.mem\[58\]\[1\],13.06
_0016_,13.045
u_sram.mem\[35\]\[0\],13.02
_0133_,13.005
_0281_,12.92
_0334_,12.92
_0335_,12.92
u_sram.mem\[1\]\[0\],12.88
net110,12.84
_0247_,12.8
_0275_,12.8
u_sram.mem\[62\]\[0\],12.76
u_sram.mem\[12\]\[1\],12.72
u_sram.mem\[24\]\[1\],12.72
_0216_,12.7
_0324_,12.7
_0542_,12.68
u_sram.mem\[16\]\[1\],12.68
_0516_,12.66
_0557_,12.64
net21,12.64
_0418_,12.62
_0547_,12.6
_0296_,12.54
u_sram.mem\[16\]\[0\],12.54
_0239_,12.52
_0159_,12.34
_0327_,12.34
u_sram.mem\[48\]\[1\],12.32
_0318_,12.3
_0565_,12.3
_0266_,12.28
_0494_,12.26
_0059_,12.245
u_sram.addr_r\[4\],12.24
_0298_,12.18
_0537_,12.18
_0581_,12.12
_0268_,12.04
u_sram.mem\[37\]\[0\],12
_0195_,11.96
u_sram.mem\[63\]\[0\],11.925
u_sram.mem\[43\]\[0\],11.9
net149,11.88
u_sram.mem\[55\]\[0\],11.84
u_sram.read_req,11.84
_0561_,11.8
u_sram.mem\[4\]\[0\],11.8
net95,11.76
u_sram.mem\[52\]\[0\],11.7
_0233_,11.68
u_sram.addr_r\[5\],11.575
net67,11.56
net32,11.46
_0005_,11.42
u_sram.mem\[38\]\[0\],11.38
_0556_,11.36
_0038_,11.305
u_sram.mem\[17\]\[0\],11.3
net134,11.26
_0463_,11.24
_0566_,11.24
_0354_,11.2
_0404_,11.2
net126,10.92
_0230_,10.89
_0205_,10.86
_0554_,10.86
net115,10.8
_0069_,10.785
_0160_,10.78
_0295_,10.78
_0340_,10.78
u_sram.mem\[23\]\[0\],10.76
_0531_,10.74
_0567_,10.7
_0518_,10.66
_0579_,10.66
u_sram.mem\[24\]\[0\],10.66
u_sram.mem\[8\]\[1\],10.6
_0188_,10.57
net157,10.56
_0293_,10.4
net92,10.4
_0487_,10.36
_0286_,10.28
_0186_,10.24
_0392_,10.24
_0535_,10.24
_0470_,10.22
u_sram.mem\[26\]\[1\],10.2
_0460_,10.16
u_sram.mem\[57\]\[0\],10.16
net113,10.12
rst_n,10.08
_0504_,10
_0436_,9.88
_0477_,9.88
_0440_,9.86
u_sram.mem\[45\]\[0\],9.86
_0381_,9.82
_0401_,9.82
u_sram.mem\[25\]\[1\],9.8
_0374_,9.78
u_sram.mem\[7\]\[0\],9.78
_0505_,9.76
net41,9.76
u_fsm.addr_done_seen,9.7
_0139_,9.645
_0417_,9.58
_0244_,9.56
_0502_,9.52
_0303_,9.5
_0269_,9.48
_0435_,9.48
u_addr_gen.start,9.48
_0080_,9.445
_0294_,9.44
_0098_,9.425
_0447_,9.42
_0180_,9.4
_0217_,9.4
_0037_,9.385
_0345_,9.38
_0236_,9.36
_0373_,9.36
_0500_,9.36
_0506_,9.36
_0416_,9.34
_0252_,9.32
_0568_,9.26
net85,9.26
u_sram.mem\[39\]\[1\],9.12
_0090_,9.065
_0336_,9.06
_0511_,9.06
net72,9.06
_0508_,9.02
_0367_,8.94
_0426_,8.9
_0393_,8.82
u_sram.mem\[61\]\[0\],8.76
_0075_,8.74
start,8.72
u_sram.mem\[42\]\[0\],8.7
u_sram.mem\[53\]\[0\],8.68
_0384_,8.66
_0513_,8.66
_0022_,8.625
_0415_,8.6
_0190_,8.56
net18,8.56
_0319_,8.52
_0458_,8.52
u_sram.mem\[36\]\[1\],8.5
net60,8.48
_0346_,8.46
u_sram.mem\[5\]\[1\],8.44
net156,8.44
_0284_,8.36
_0498_,8.36
_0115_,8.24
net145,8.22
_0030_,8.205
_0338_,8.2
_0480_,8.18
_0228_,8.1
_0552_,8.1
u_sram.mem\[60\]\[0\],8.1
_0231_,8.06
_0450_,8.06
_0571_,8.04
_0042_,8.035
_0125_,8.025
_0529_,8.02
_0272_,8
_0409_,7.98
_0550_,7.98
_0226_,7.94
_0262_,7.94
_0546_,7.94
net51,7.86
_0084_,7.845
_0144_,7.79
_0088_,7.765
_0222_,7.76
u_sram.mem\[61\]\[1\],7.76
_0055_,7.68
_0218_,7.68
_0538_,7.68
u_fsm.protocol_error,7.68
u_sram.mem\[15\]\[0\],7.68
u_sram.mem\[43\]\[1\],7.68
net117,7.68
_0162_,7.6
_0490_,7.6
u_sram.mem\[54\]\[0\],7.58
_0389_,7.56
_0419_,7.56
u_sram.mem\[28\]\[1\],7.56
_0157_,7.52
_0270_,7.52
_0432_,7.52
_0046_,7.485
net155,7.38
net77,7.34
net121,7.34
_0087_,7.265
_0493_,7.22
u_sram.mem\[22\]\[1\],7.2
_0015_,7.185
_0191_,7.18
_0202_,7.18
_0484_,7.095
_0405_,7.06
_0410_,7.06
_0089_,7
_0523_,6.98
_0536_,6.98
_0065_,6.96
_0006_,6.925
u_fsm.next_state\[2\],6.84
_0027_,6.825
_0012_,6.72
_0321_,6.72
u_comparator.compare_done,6.72
_0095_,6.7
_0050_,6.685
_0221_,6.66
_0462_,6.66
_0101_,6.645
_0385_,6.64
_0496_,6.64
_0483_,6.6
_0081_,6.525
_0559_,6.52
u_sram.mem\[3\]\[1\],6.52
net101,6.48
_0093_,6.425
u_sram.mem\[58\]\[0\],6.4
_0299_,6.38
_0049_,6.365
_0083_,6.365
_0263_,6.36
pass_fail,6.33
_0047_,6.3
_0429_,6.3
_0488_,6.3
_0509_,6.3
u_comparator.read_data\[1\],6.3
net100,6.3
_0341_,6.29
net138,6.26
u_sram.mem\[36\]\[0\],6.2
_0161_,6.18
_0578_,6.18
net124,6.14
_0369_,6.06
net146,6.04
_0023_,6.005
net133,5.98
_0441_,5.96
net53,5.96
u_sram.mem\[28\]\[0\],5.94
_0092_,5.925
_0187_,5.86
_0278_,5.84
_0356_,5.84
_0394_,5.84
_0398_,5.84
_0459_,5.84
net29,5.84
_0472_,5.82
net91,5.82
_0152_,5.8
_0528_,5.8
u_sram.mem\[0\]\[1\],5.8
_0359_,5.74
_0558_,5.74
_0147_,5.72
_0464_,5.72
_0575_,5.72
_0264_,5.68
_0292_,5.68
_0406_,5.68
_0517_,5.68
net46,5.68
net107,5.68
_0026_,5.64
net93,5.58
_0010_,5.5
_0260_,5.5
_0143_,5.46
net22,5.46
net62,5.46
_0066_,5.435
_0127_,5.435
_0229_,5.38
_0515_,5.38
u_sram.mem\[17\]\[1\],5.38
_0576_,5.36
_0019_,5.345
_0360_,5.34
_0473_,5.34
_0052_,5.305
_0086_,5.305
_0495_,5.28
u_sram.mem\[15\]\[1\],5.28
_0541_,5.26
_0412_,5.22
_0044_,5.16
net97,5.16
net129,5.16
net143,5.16
net56,5.12
_0073_,5.045
_0011_,5
net136,5
_0240_,4.92
_0512_,4.92
net89,4.92
_0499_,4.9
_0056_,4.885
_0365_,4.88
u_addr_gen.done,4.88
_0085_,4.845
_0333_,4.82
_0491_,4.82
_0555_,4.82
_0141_,4.8
_0452_,4.8
net94,4.8
_0138_,4.785
_0288_,4.76
net96,4.76
_0118_,4.725
_0062_,4.7
_0131_,4.7
_0265_,4.68
net90,4.66
net130,4.66
_0021_,4.625
_0071_,4.625
net44,4.58
_0572_,4.57
_0014_,4.48
_0325_,4.46
u_fsm.next_state\[1\],4.46
net39,4.46
net114,4.46
net158,4.46
_0064_,4.425
_0543_,4.42
_0544_,4.42
_0070_,4.385
_0526_,4.36
_0153_,4.34
_0248_,4.34
net57,4.34
net61,4.34
_0107_,4.265
_0025_,4.24
_0570_,4.22
net54,4.22
_0339_,4.2
net108,4.2
_0109_,4.165
net128,4.14
_0060_,4.12
_0142_,4.1
net33,4.02
_0192_,4
_0306_,4
_0370_,4
_0421_,4
_0486_,4
net83,4
_0130_,3.945
_0061_,3.9
_0382_,3.88
_0474_,3.88
_0077_,3.78
_0220_,3.78
net36,3.78
net37,3.78
net86,3.78
_0104_,3.705
net59,3.68
net80,3.68
_0110_,3.565
_0254_,3.56
_0176_,3.54
_0238_,3.54
_0479_,3.54
_0514_,3.54
u_sram.mem\[2\]\[1\],3.54
net122,3.54
_0129_,3.505
_0079_,3.44
_0549_,3.44
_0323_,3.42
net64,3.42
net79,3.42
_0034_,3.345
_0040_,3.32
_0108_,3.32
net35,3.32
net40,3.32
net73,3.32
net88,3.32
net135,3.32
_0135_,3.3
_0140_,3.295
net84,3.22
_0245_,3.2
net160,3.2
_0054_,3.175
_0119_,3.145
_0279_,3.1
_0001_,3.08
_0234_,3.08
_0449_,3.08
net66,3.08
_0035_,3.005
_0039_,3.005
_0043_,3.005
_0051_,3.005
_0453_,2.98
_0540_,2.98
_0243_,2.96
_0349_,2.96
_0352_,2.96
_0378_,2.96
_0562_,2.96
_0094_,2.885
_0100_,2.885
_0114_,2.885
_0132_,2.88
_0029_,2.86
_0074_,2.86
_0209_,2.86
net48,2.86
net50,2.86
net69,2.86
net75,2.86
net87,2.86
net131,2.86
_0116_,2.835
_0573_,2.835
_0028_,2.785
_0111_,2.785
_0113_,2.785
net30,2.76
net55,2.76
net111,2.76
net123,2.76
net127,2.76
net151,2.76
net152,2.76
net24,2.74
_0271_,2.72
_0096_,2.715
_0126_,2.705
_0276_,2.62
_0355_,2.62
u_fsm.next_state\[0\],2.62
net112,2.62
_0017_,2.595
_0057_,2.585
_0076_,2.585
_0137_,2.585
_0031_,2.545
_0063_,2.545
_0253_,2.52
_0402_,2.52
_0444_,2.52
_0456_,2.52
_0471_,2.52
_0532_,2.52
_0580_,2.52
_0397_,2.5
_0423_,2.5
net159,2.5
_0082_,2.485
_0045_,2.42
_0122_,2.42
_0197_,2.4
net34,2.4
net38,2.4
net71,2.4
net102,2.4
net119,2.4
net147,2.4
_0112_,2.38
_0007_,2.325
_0018_,2.325
_0020_,2.325
_0102_,2.325
_0121_,2.325
net43,2.3
net45,2.3
net47,2.3
net52,2.3
net58,2.3
net65,2.3
net68,2.3
net70,2.3
net74,2.3
net81,2.3
net98,2.3
net99,2.3
net104,2.3
net142,2.3
net148,2.3
_0008_,2.28
_0058_,2.255
_0146_,2.18
_0282_,2.16
_0290_,2.16
_0316_,2.16
_0577_,2.16
net26,2.16
net27,2.16
_0099_,2.125
_0117_,2.125
_0041_,2.085
_0091_,2.085
_0196_,2.06
_0215_,2.06
_0225_,2.06
_0427_,2.06
_0430_,2.06
_0433_,2.06
_0443_,2.06
_0455_,2.06
_0465_,2.06
_0489_,2.06
_0525_,2.06
_0534_,2.06
_0036_,2.025
_0048_,2.025
_0053_,2.025
_0067_,2.025
_0072_,2.025
_0105_,2.025
_0106_,2.025
_0128_,2.025
_0134_,2.025
_0256_,1.94
net49,1.94
net82,1.94
_0024_,1.865
_0032_,1.865
_0068_,1.865
_0078_,1.865
_0123_,1.865
_0136_,1.865
net16,1.84
net42,1.84
net63,1.84
net103,1.84
net105,1.84
net137,1.84
net139,1.84
net140,1.84
net141,1.84
net150,1.84
net153,1.84
net161,1.84
_0013_,1.7
_0485_,1.7
_0564_,1.7
u_comparator.read_data\[0\],1.7
net116,1.7
net125,1.7
net154,1.7
_0390_,1.6
_0446_,1.6
_0476_,1.6
_0522_,1.6
_0097_,1.575
_0124_,1.575
net78,1.48
net106,1.48
net109,1.48
net120,1.48
_0120_,1.405
_0285_,1.38
_0301_,1.38
_0371_,1.14
_0386_,1.14
_0438_,1.14
_0461_,1.14
_0501_,1.14
_0569_,1.14
_0574_,1.02
net118,1.02
net132,1.02
net144,1.02
_0467_,0.92
_0145_,0.8
_0206_,0.8
u_sram.re_r,0.8
